rank,bgg_url,game_id,name,min_players,max_players,gameplay_time,min_time,max_time,release_year,num_votes,image_url,age,mechanic,sales_last_month_thousands,category,designer,weight
503,https://boardgamegeek.com/boardgame/89409/battlecon-war-indines,89409,BattleCON: War of Indines,2,4,15,15,15,2010,1266,https://cf.geekdo-images.com/images/pic2039033.jpg,9,"Hand Management, Point to Point Movement, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers",8.642436,"Card Game, Fighting, Print & Play","D. Brad Talton, Jr.",2.6923
538,https://boardgamegeek.com/boardgame/72287/mr-jack-pocket,72287,Mr. Jack Pocket,2,2,15,15,15,2010,5209,https://cf.geekdo-images.com/images/pic1519530.jpg,14,Modular Board,7.00654,"Bluffing, Deduction, Murder/Mystery, Post-Napoleonic","Bruno Cathala, Ludovic Maublanc",1.8051
570,https://boardgamegeek.com/boardgame/91514/rhino-hero,91514,Rhino Hero,2,5,15,5,15,2011,3513,https://cf.geekdo-images.com/images/pic2022956.jpg,5,Hand Management,7.05901,"Action / Dexterity, Animals, Children's Game, Party Game","Scott Frisco, Steven Strumpf",1.0351
612,https://boardgamegeek.com/boardgame/164265/witness,164265,Witness,4,4,15,15,15,2014,1552,https://cf.geekdo-images.com/images/pic2336025.jpg,13,"Co-operative Play, Memory",8.889648,"Comic Book / Strip, Deduction, Memory, Murder/Mystery",Dominique Bodin,1.5319
619,https://boardgamegeek.com/boardgame/130176/tales-games-hare-tortoise,130176,Tales & Games: The Hare & the Tortoise,2,5,15,15,15,2011,2161,https://cf.geekdo-images.com/images/pic2433578.jpg,7,"Betting/Wagering, Hand Management",7.20416,"Animals, Card Game, Novel-based, Racing",Gun-Hee Kim,1.4608
638,https://boardgamegeek.com/boardgame/131260/qwixx,131260,Qwixx,2,5,15,15,15,2012,4443,https://cf.geekdo-images.com/images/pic2282547.jpg,8,"Dice Rolling, Paper-and-Pencil",7.605488,Dice,Steffen Benndorf,1.1434
650,https://boardgamegeek.com/boardgame/17329/animal-upon-animal,17329,Animal Upon Animal,2,4,15,15,15,2005,4568,https://cf.geekdo-images.com/images/pic403502.jpg,4,Dice Rolling,7.5779,"Action / Dexterity, Animals, Children's Game",Klaus Miltenberger,1.0435
672,https://boardgamegeek.com/boardgame/158600/hanamikoji,158600,Hanamikoji,2,2,15,15,15,2013,1084,https://cf.geekdo-images.com/images/pic2992529.jpg,10,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Hand Management",7.62562,"Card Game, Medieval",Kota Nakayama,1.64
694,https://boardgamegeek.com/boardgame/16395/blokus-duo,16395,Blokus Duo,2,2,15,15,15,2005,4182,https://cf.geekdo-images.com/images/pic1086904.jpg,5,Tile Placement,8.244432,"Abstract Strategy, Territory Building",Bernard Tavitian,1.7048
714,https://boardgamegeek.com/boardgame/134352/two-rooms-and-boom,134352,Two Rooms and a Boom,6,30,15,15,15,2013,2305,https://cf.geekdo-images.com/images/pic2335221.png,8,"Acting, Partnerships, Variable Player Powers, Voting",8.489664,"Bluffing, Deduction, Negotiation, Party Game, Spies/Secret Agents","Alan Gerding, Sean McCoy",1.4095
